id,url,commercial_landlord,title,price_euros,size_sqm,available_rooms,capacity,available_spots_wg,male_flatmates,female_flatmates,diverse_flatmates,published_on,published_at,address,city,crawler,latitude,longitude,available_from,available_to,details_searched,cold_rent_euros,mandatory_costs_euros,extra_costs_euros,transfer_costs_euros,deposit,zip_code,home_total_size,smoking,wg_possible,building_type,building_floor,furniture,kitchen,heating,public_transport_distance,parking,schufa_needed,type_offer_simple,min_age_flatmates,max_age_flatmates,gender_searched,min_age_searched,max_age_searched,construction_year,energy_certificate,energy_usage,energy_efficiency_class,heating_energy_source,price_per_sqm_warm,price_per_sqm_cold,number_languages,internet_speed,toilet,internet_dsl,internet_wlan,internet_flatrate,shower_type_badewanne,shower_type_dusche,floor_type_dielen,floor_type_parkett,floor_type_laminat,floor_type_teppich,floor_type_fliesen,floor_type_pvc,floor_type_fußbodenheizung,extras_waschmaschine,extras_spuelmaschine,extras_terrasse,extras_balkon,extras_garten,extras_gartenmitbenutzung,extras_keller,extras_aufzug,extras_haustiere,extras_fahrradkeller,extras_dachboden,languages_deutsch,languages_englisch,wg_type_studenten,wg_type_keine_zweck,wg_type_maenner,wg_type_business,wg_type_wohnheim,wg_type_vegetarisch_vegan,wg_type_alleinerziehende,wg_type_funktionale,wg_type_berufstaetigen,wg_type_gemischte,wg_type_mit_kindern,wg_type_verbindung,wg_type_lgbtqia,wg_type_senioren,wg_type_inklusive,wg_type_wg_neugruendung,tv_kabel,tv_satellit,day_of_week_publication,days_available,rental_length_term,furniture_numerical,kitchen_numerical,smoking_numerical,age_category_searched,room_size_house_fraction,flat_with_kids,km_to_centroid,comfort_leisure_spots,comfort_warehouse,activities_education,mobility_public_transport_bus,activities_economic,comfort_industrial,activities_goverment,social_life_eating,comfort_comfort_spots,social_life_culture,activities_supermarket,activities_public_service,social_life_community,comfort_leisure_mass,activities_educational,mobility_street_secondary,mobility_public_transport_rail,activities_retail,social_life_night_life,comfort_green_natural,comfort_railway,mobility_bike_infraestructure,comfort_green_forests,mobility_street_primary,comfort_lakes,activities_health_regional,activities_health_local,comfort_green_space,comfort_rivers,activities_post,comfort_green_parks,comfort_street_motorway,sin_degrees_to_centroid,cos_degrees_to_centroid,sin_published_at,cos_published_at,sin_day_week_int,cos_day_week_int
9769623,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9769623.html,0.0,WG Zimmer zu vermieten,730.0,15.0,1.0,4.0,4.0,0.0,0.0,0.0,2022-07-12,19,"Anna Siemsen Weg, 12353, Berlin",Berlin,WG-Gesucht,52.4282736,13.4590064,2023-01-01,2024-08-31,1,680.0,50.0,0.0,0.0,1800.0,12353.0,90.0,,1.0,sanierter Altbau,2.0,möbliert,,Fernwärme,5.0,gute Parkmöglichkeiten,1.0,WG,,,Egal,0.0,99.0,,no_answer,,,no_answer,32.44444444444444,30.22222222222222,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tue,608,plus540days,1.0,0.0,0.0,20_100,0.16666666666666666,0.0,8.928530807607538,0.014163917764292,0.0,0.0,0.4560963985444708,0.1767171041974393,0.0,0.0,0.2064799669698149,0.4758162118035285,0.0,0.0,0.0,0.0,0.0,0.0010729582649786,0.0,0.0,0.7105071188862536,0.0,0.0070494243868922,0.0,0.0,0.0,0.0,0.0085259021370674,0.0,0.0,0.0,0.0,0.3381041464180991,0.0,0.0,-0.7846144155368105,0.6199840473204364,-0.9659258262890685,0.25881904510252035,0.9749279121818238,-0.22252093395631437
9769532,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg.9769532.html,0.0,9 qm Zimmer in 3er Wg in Charlottenburg,340.0,9.0,1.0,3.0,1.0,2.0,0.0,0.0,2022-07-12,19,"Nithackstraße, 10585, Berlin",Berlin,WG-Gesucht,52.5178434,13.2983777,2023-02-01,,1,240.0,100.0,0.0,0.0,720.0,10585.0,75.0,Rauchen nicht erwünscht,1.0,Altbau,1.0,teilmöbliert,,Fernwärme,3.0,gute Parkmöglichkeiten,0.0,WG,21.0,21.0,Egal,20.0,24.0,,no_answer,,,no_answer,13.6,9.6,1.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tue,730,plus540days,0.5,0.0,0.0,30_30,0.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9659258262890685,0.25881904510252035,0.9749279121818238,-0.22252093395631437
9769768,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.9769768.html,0.0,Wg Durchgangszimmer frei einrichtbar,500.0,18.0,1.0,2.0,2.0,0.0,0.0,0.0,2022-07-12,20,"Richard Von Weizsäcker Platz, 10827, Berlin",Berlin,WG-Gesucht,52.4869202,13.3569835,2022-12-10,2023-07-01,1,400.0,100.0,0.0,0.0,600.0,10827.0,65.0,,1.0,sanierter Altbau,3.0,,,Fernwärme,3.0,no_answer,0.0,WG,20.0,45.0,Egal,20.0,45.0,,no_answer,,,no_answer,15.384615384615385,12.307692307692308,1.0,4.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Tue,203,270days,0.0,0.0,0.0,30_60,0.27692307692307694,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8660254037844385,0.5,0.9749279121818238,-0.22252093395631437
9728910,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Wilmersdorf.9728910.html,0.0,"gemütliches, helles 19qm WG-Zimmer in Charlottenburg vom 16.12 bis 05.01 :)",360.0,18.0,1.0,2.0,1.0,0.0,1.0,0.0,2022-07-12,21,"Düsseldorfer Straße 43, 10707, Berlin",Berlin,WG-Gesucht,52.4969661,13.3096711,2022-12-17,2023-01-01,1,300.0,60.0,0.0,0.0,720.0,10707.0,65.0,Rauchen nicht erwünscht,1.0,no_answer,1.0,,,Fernwärme,2.0,schlechte Parkmöglichkeiten,0.0,WG,20.0,22.0,Egal,0.0,99.0,,no_answer,,,no_answer,11.076923076923077,9.23076923076923,2.0,6.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tue,15,30days,0.0,0.0,0.0,20_100,0.27692307692307694,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7071067811865477,0.7071067811865474,0.9749279121818238,-0.22252093395631437
9769880,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Moabit.9769880.html,0.0,Großes WG Zimmer in Moabit 17.-30.12.22,290.0,24.0,1.0,4.0,1.0,2.0,1.0,0.0,2022-07-12,22,"Quitzowstraße 123, 10559, Berlin",Berlin,WG-Gesucht,52.534806,13.3482021,2022-12-17,2022-12-30,1,200.0,90.0,0.0,0.0,0.0,10559.0,100.0,,1.0,Altbau,0.0,,,no_answer,3.0,gute Parkmöglichkeiten,0.0,WG,23.0,29.0,Egal,0.0,99.0,,no_answer,,,no_answer,11.6,8.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tue,13,30days,0.0,0.0,0.0,20_100,0.24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5000000000000003,0.8660254037844383,0.9749279121818238,-0.22252093395631437
8208937,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.8208937.html,0.0,Zimmer in 4er Girls WG | befristet,460.0,14.0,1.0,4.0,1.0,2.0,1.0,0.0,2022-07-12,22,"Str, 12051, Berlin",Berlin,WG-Gesucht,52.5034002,13.3386373,2023-01-01,2023-08-31,1,400.0,60.0,0.0,0.0,900.0,12051.0,120.0,Rauchen auf dem Balkon erlaubt,1.0,Neubau,2.0,,,no_answer,7.0,no_answer,0.0,WG,,,Frau,0.0,99.0,,no_answer,,,no_answer,15.333333333333334,13.333333333333334,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tue,242,270days,0.0,0.0,0.5,20_100,0.11666666666666667,0.0,4.340450530650405,0.0133107169326866,0.0,0.0225550062798343,0.3744933637523705,0.4951664251311443,0.0,8.792866142628837e-12,2.721408383132032,0.3352780232088425,0.0300818635311733,7.525571125099519e-08,0.0,0.07617643870189,0.0880576908364193,0.0264016764320001,12.908664982368483,0.8468740527762456,6.564910665532985,0.5312755745049664,4.633841940703853,0.6030769725421019,0.0,0.0,0.0789247886868904,2.9353121648506173,0.0,0.5349838650688108,0.7771700827241643,0.0,0.3354998648756685,2.508021374720207,0.0,0.02263746912584203,-0.9997437396611079,-0.5000000000000003,0.8660254037844383,0.9749279121818238,-0.22252093395631437
9678940,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.9678940.html,0.0,Zimmer in 2-er WG,310.0,20.0,1.0,2.0,1.0,1.0,0.0,0.0,2022-07-12,22,"Naugarder Straße 44, 10409, Berlin",Berlin,WG-Gesucht,52.5430796,13.438064458841652,2022-12-15,2022-12-30,1,100.0,25.0,185.0,0.0,100.0,10409.0,60.0,Rauchen nicht erwünscht,1.0,sanierter Altbau,4.0,teilmöbliert,,Gasheizung,4.0,schlechte Parkmöglichkeiten,0.0,WG,,34.0,Frau,18.0,40.0,,no_answer,,,gas,10.333333333333334,3.3333333333333335,2.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tue,15,30days,0.5,0.0,0.0,20_60,0.3333333333333333,0.0,5.188806734406196,0.1808491474908957,0.4100707543142491,0.0151815926061534,0.1929444240845125,0.1944816176516042,0.1267921037858231,6.010380458227818e-17,0.5421987875084595,0.4304412655695482,0.0303092882247789,0.4662742562277447,0.0,0.0677983184612863,0.051701642785819,0.0968436862841854,0.1339927506112468,0.3817806839155229,1.150126964357383,0.3156526053151503,0.0047535904725397,1.0931288035775573,2.0,0.0,3.9212085987621994,0.0,0.0,0.453380092477009,1.118007749581358,0.0,0.3183615165161227,5.83817771289566,0.0,0.7476105797403322,0.664137351050462,-0.5000000000000003,0.8660254037844383,0.9749279121818238,-0.22252093395631437
9769179,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.9769179.html,0.0,"Schönes WG Zimmer in heller, ruhiger Altbau Whg mit bester Lage (flexibel ab Mitte DEZ)",790.0,25.0,1.0,2.0,1.0,0.0,1.0,0.0,2022-07-12,23,"Neue Bahnhofstraße, 10245, Berlin",Berlin,WG-Gesucht,52.5062018,13.4702992,2022-12-15,,1,600.0,190.0,0.0,0.0,1200.0,10245.0,79.0,,1.0,sanierter Altbau,1.0,,,no_answer,3.0,gute Parkmöglichkeiten,0.0,WG,32.0,32.0,Frau,0.0,99.0,,no_answer,,,no_answer,20.0,15.189873417721518,3.0,5.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Tue,730,plus540days,0.0,0.0,0.0,20_100,0.31645569620253167,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25881904510252157,0.9659258262890682,0.9749279121818238,-0.22252093395631437
8523371,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg.8523371.html,0.0,Charmantes ruhiges Zimmer sucht solventen Mitbewohner/in ab 30 J.,700.0,23.0,1.0,2.0,1.0,1.0,0.0,0.0,2022-08-12,0,"Zillestraße, 10585, Berlin",Berlin,WG-Gesucht,52.5134371,13.3054988,2023-01-01,,1,600.0,100.0,0.0,0.0,1150.0,10585.0,70.0,,1.0,sanierter Altbau,2.0,,,no_answer,5.0,gute Parkmöglichkeiten,0.0,WG,30.0,50.0,Egal,30.0,50.0,,no_answer,,,no_answer,20.0,17.142857142857142,1.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fri,730,plus540days,0.0,0.0,0.0,40_60,0.32857142857142857,0.0,6.67894114139533,0.0239362687277228,0.0145830147719321,0.0432911153028663,0.2656225274483507,0.4434136863408791,0.0113744340249971,2.4848746454634543e-08,1.890300272737035,0.0838195058022106,0.1120879022733109,1.1888347439590398e-13,0.0,0.1553364386406773,0.0658869263025644,0.0992567888871369,1.6860898087457508,0.6113569304588982,0.2331995196231208,0.513229006929961,0.4256267557595765,0.0217272579965906,3.0,0.0,1.895587260721722,3.930383224806381e-05,0.0,0.6023321280859752,5.268452172700288e-05,0.0126812140961466,0.1118989469357686,5.554323605676586,3.005072524020896e-05,0.12580077290155883,-0.9920555254305932,0.0,1.0,-0.9749279121818237,-0.22252093395631461
8438914,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.8438914.html,0.0,Zimmer in neuer luxuriöser Berufstätigen-WG mit perfekter Infrastruktur,900.0,20.0,1.0,3.0,1.0,0.0,2.0,0.0,2022-08-12,0,"Quartiersweg 3, 10829, Berlin",Berlin,WG-Gesucht,52.4783346,13.3613685,2023-03-01,2024-03-31,1,740.0,160.0,0.0,0.0,1800.0,10829.0,108.0,Rauchen auf dem Balkon erlaubt,1.0,Neubau,6.0,möbliert,,Fernwärme,3.0,gute Parkmöglichkeiten,0.0,WG,25.0,33.0,Egal,22.0,39.0,2019.0,Bedarfsausweis,55.0,7.0,distant district heating,25.0,20.555555555555557,5.0,7.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Fri,396,540days,1.0,0.0,0.5,30_40,0.18518518518518517,0.0,3.8031650424441614,0.2403691315451515,0.0035380182280876,0.0218633415051243,0.3328961716331067,0.0756424051331615,0.0596367035031749,7.453989422696972e-05,0.1651164794133506,2.918221937584837,0.0211798037211884,0.0004466976419097,0.0,0.0211930981895325,0.0191393961548495,0.0031010286446437,1.9045097297093467,0.37102031717902,2.051885947041563,0.0554609465064106,0.0028729121939672,4.1948648430353135,0.0,0.0,0.3385661463997204,0.0,0.0,0.0470071407919132,1.254468330717739,0.0,0.0283078358712918,6.610450923369676,0.4237818313140949,-0.506566986650915,-0.8622006077679437,0.0,1.0,-0.9749279121818237,-0.22252093395631461
