id,url,commercial_landlord,title,price_euros,size_sqm,available_rooms,capacity,available_spots_wg,male_flatmates,female_flatmates,diverse_flatmates,published_on,published_at,address,city,crawler,latitude,longitude,available_from,available_to,details_searched,cold_rent_euros,mandatory_costs_euros,extra_costs_euros,transfer_costs_euros,schufa_needed,deposit,zip_code,home_total_size,smoking,wg_possible,building_type,building_floor,furniture,kitchen,heating,public_transport_distance,parking,type_offer_simple,min_age_flatmates,max_age_flatmates,gender_searched,min_age_searched,max_age_searched,construction_year,energy_certificate,energy_usage,energy_efficiency_class,heating_energy_source,price_per_sqm_warm,price_per_sqm_cold,number_languages,internet_speed,toilet,internet_dsl,internet_wlan,internet_flatrate,shower_type_badewanne,shower_type_dusche,floor_type_dielen,floor_type_parkett,floor_type_laminat,floor_type_teppich,floor_type_fliesen,floor_type_pvc,floor_type_fußbodenheizung,extras_waschmaschine,extras_spuelmaschine,extras_terrasse,extras_balkon,extras_garten,extras_gartenmitbenutzung,extras_keller,extras_aufzug,extras_haustiere,extras_fahrradkeller,extras_dachboden,languages_deutsch,languages_englisch,wg_type_studenten,wg_type_keine_zweck,wg_type_maenner,wg_type_business,wg_type_wohnheim,wg_type_vegetarisch_vegan,wg_type_alleinerziehende,wg_type_funktionale,wg_type_berufstaetigen,wg_type_gemischte,wg_type_mit_kindern,wg_type_verbindung,wg_type_lgbtqia,wg_type_senioren,wg_type_inklusive,wg_type_wg_neugruendung,tv_kabel,tv_satellit,days_since_2022,day_of_week_publication,days_available,rental_length_term,furniture_numerical,kitchen_numerical,smoking_numerical,age_category_searched,room_size_house_fraction,flat_with_kids,km_to_centroid,comfort_leisure_spots,comfort_warehouse,activities_education,mobility_public_transport_bus,activities_economic,comfort_industrial,activities_goverment,social_life_eating,comfort_comfort_spots,social_life_culture,activities_supermarket,activities_public_service,social_life_community,comfort_leisure_mass,activities_educational,mobility_street_secondary,mobility_public_transport_rail,activities_retail,social_life_night_life,comfort_green_natural,comfort_railway,mobility_bike_infraestructure,comfort_green_forests,mobility_street_primary,comfort_lakes,activities_health_regional,activities_health_local,comfort_green_space,comfort_rivers,activities_post,comfort_green_parks,comfort_street_motorway,sin_degrees_to_centroid,cos_degrees_to_centroid,sin_published_at,cos_published_at,sin_day_week_int,cos_day_week_int
7726283,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Weiensee.7726283.html,0.0,15 qm WG Zimmer in Weißensee *Möbliert*,540,15,1.0,3,1,1,1,0,2023-01-01,,"Bromelienweg, 13089, Berlin",Berlin,WG-Gesucht,52.5679177,13.4485524,2023-03-01,,1,360.0,140.0,40.0,0.0,1.0,0.0,13089.0,84.0,Rauchen nicht erwünscht,1.0,Neubau,2.0,möbliert,,no_answer,,no_answer,WG,,,Egal,0.0,99.0,,no_answer,,,no_answer,19.285714285714285,12.857142857142858,2.0,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,365,Sun,730,plus540days,1.0,0.0,0.0,20_100,0.17857142857142858,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0
9092414,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain-Kreuzberg.9092414.html,0.0,Superwohnung in Friedrichshain für eine 2-er-WG,550,21,1.0,2,1,0,1,0,2023-01-01,,"Marchlewskistrasse, 10243, Berlin",Berlin,WG-Gesucht,52.5157714,13.4429445,2023-04-01,,1,400.0,150.0,0.0,0.0,1.0,400.0,10243.0,95.0,Rauchen nicht erwünscht,1.0,Altbau,6.0,möbliert,,no_answer,2.0,Bewohnerparken,WG,45.0,60.0,Frau,20.0,60.0,1951.0,Bedarfsausweis,120.0,6.0,distant district heating,11.578947368421053,8.421052631578947,2.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,365,Sun,730,plus540days,1.0,0.0,0.0,30_100,0.22105263157894736,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0
9801650,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.9801650.html,0.0,3 Monate zentral in Wilmersdorf,473,20,1.0,2,1,0,1,0,2023-01-01,,"Berliner Str 33, 10715, Berlin",Berlin,WG-Gesucht,52.4866674,13.3228483,2023-01-03,2023-03-31,1,302.0,121.0,50.0,0.0,1.0,900.0,10715.0,60.0,Rauchen nicht erwünscht,1.0,Altbau,1.0,,,no_answer,2.0,schlechte Parkmöglichkeiten,WG,26.0,26.0,Egal,18.0,38.0,,no_answer,,,no_answer,15.766666666666667,10.066666666666666,2.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365,Sun,87,90days,0.0,0.0,0.0,20_40,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0
7193845,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Wedding.7193845.html,0.0,Kleines Zimmer mit selbstgebautem Bett. Von Januar bis Ende Juni,465,13,1.0,3,1,1,1,0,2023-01-01,,"Pankstraße, 13357, Berlin",Berlin,WG-Gesucht,52.5522617,13.3814583,2023-01-01,2023-06-30,1,365.0,100.0,0.0,0.0,1.0,1000.0,13357.0,98.0,,1.0,Altbau,1.0,teilmöbliert,,no_answer,5.0,schlechte Parkmöglichkeiten,WG,25.0,29.0,Egal,20.0,29.0,,no_answer,,,eletricity,14.23469387755102,11.173469387755102,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365,Sun,180,180days,0.5,0.0,0.0,30_30,0.1326530612244898,0.0,5.723094683634871,0.1811243896082187,1.9651916124031903e-05,0.0303369782118114,0.4053469721743987,0.6117722199011515,4.843280556839679,0.0,1.1593429616700492,0.0340312096754852,0.14599535854718,0.0110561543791447,0.0,0.073040125438862,0.0150142852456673,0.1424313609195368,6.388482154487105,0.5984548110857696,8.363905759582014,0.5661918867286728,0.0,2.889761801778727,2.0,0.0,0.712278234210376,1.0611419841371843,0.0,0.566395861461254,3.4890276679998924,0.0,0.2391153719378793,6.480031031450141,0.0,0.9303838453638402,-0.3665868250305703,,,-2.4492935982947064e-16,1.0
6449203,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Lankwitz.6449203.html,0.0,"Helles, gemütliches Zimmer zur Zwischenmiete (FEB - SEPT)",540,15,1.0,3,1,1,1,0,2023-01-01,,"Mudrastraße 17, 12249, Berlin",Berlin,WG-Gesucht,52.4301139,13.3556877,2023-01-16,2023-09-30,1,480.0,60.0,0.0,0.0,1.0,200.0,12249.0,90.0,Rauchen nicht erwünscht,1.0,Hochhaus,5.0,möbliert,,Zentralheizung,1.0,schlechte Parkmöglichkeiten,WG,,34.0,Egal,18.0,40.0,1983.0,no_answer,,,oil,18.0,16.0,4.0,5.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365,Sun,257,270days,1.0,0.0,0.0,20_60,0.16666666666666666,1.0,8.449410780815578,0.0023853258794545,0.0,0.0,0.2679522893893315,0.0,0.0189420374928844,0.0,0.0932037867620646,0.0,0.0,0.0,0.0,0.0,0.0,0.0013123676144759,3.208389032437348,0.0,0.0004788186989945,0.0453544463174925,0.0,0.0021468025245754,0.0,0.0,2.959060799646091e-07,0.0,0.0,0.0971637219434366,0.0599628006797944,0.0,0.0723907238784122,0.0,0.0,-0.8358374797185343,-0.5489769644509402,,,-2.4492935982947064e-16,1.0
9801631,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Tempelhof.9801631.html,0.0,"Beautiful room in WG ,Ein Zimmer in WG",588,22,1.0,3,1,2,0,0,2023-01-01,,"Tempelhof Damm, 12101, Berlin",Berlin,WG-Gesucht,52.469568,13.385629,2023-02-01,2023-05-01,1,490.0,88.0,10.0,0.0,1.0,0.0,12101.0,101.0,Rauchen auf dem Balkon erlaubt,1.0,Altbau,1.0,möbliert,,Zentralheizung,1.0,gute Parkmöglichkeiten,WG,20.0,28.0,Frau,18.0,32.0,,no_answer,,,no_answer,17.465346534653467,14.554455445544555,3.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,365,Sun,89,90days,1.0,0.0,0.5,20_40,0.21782178217821782,0.0,3.814349027947725,0.0010729582649786,1.8868214668145984,0.0002569219309649,0.6434479321880607,0.300240004020279,2.431924886297954,0.0001521860662311,0.5538344350774221,0.2130139578384015,0.0127779910589704,0.0092434944792443,0.0,5.568341631066454e-05,0.0161536733326482,0.0348616597809549,1.010060948502286,0.724923025076585,5.391450853197341,0.0463047413247821,0.0,3.3278925963307247,1.0,0.0,8.91034785012616,0.3689177865650995,0.0,0.2413940562727883,0.9580836392418656,0.0,0.4797393568608977,2.6111932046714803,1.4612488874364953,-0.890156318313286,-0.45565527426656166,,,-2.4492935982947064e-16,1.0
9801766,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Mahlsdorf.9801766.html,0.0,18 m² WG-Zimmer mit Balkon in ruhiger Lage - Erstbezug nach Sanierung,591,18,1.0,3,2,0,1,0,2023-01-01,,"Kastanienallee 12, 12623, Berlin",Berlin,WG-Gesucht,52.4755912,13.6059357,2023-01-07,,1,550.0,41.0,0.0,0.0,1.0,591.0,12623.0,83.0,Rauchen auf dem Balkon erlaubt,1.0,Mehrfamilienhaus,1.0,,,Gasheizung,5.0,gute Parkmöglichkeiten,WG,,,Egal,20.0,40.0,,no_answer,,,no_answer,21.36144578313253,19.879518072289155,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365,Sun,730,plus540days,0.0,0.0,0.5,30_60,0.21686746987951808,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0
7038165,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedenau.7038165.html,0.0,Möbliertes Zimmer im schönen Friedenau! für knapp 5 Monate,500,21,1.0,4,1,2,1,0,2023-01-01,,"Bennigsenstraße, 12159, Berlin",Berlin,WG-Gesucht,52.4764208,13.3379361,2023-01-22,2023-06-15,1,400.0,100.0,0.0,0.0,1.0,400.0,12159.0,110.0,Rauchen auf dem Balkon erlaubt,1.0,Neubau,4.0,möbliert,,Zentralheizung,7.0,gute Parkmöglichkeiten,WG,25.0,26.0,Egal,20.0,33.0,,no_answer,,,no_answer,18.181818181818183,14.545454545454545,3.0,6.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365,Sun,144,180days,1.0,0.0,0.5,30_40,0.19090909090909092,0.0,5.186123801383194,0.0527640490317521,0.0,0.0770741922200208,0.1063301167874201,0.010800056442251,0.2978457343955006,9.051882574903466e-12,0.4507467118534676,0.6005973139469744,0.0569541675078284,1.5041653774353468e-05,0.0,0.0114940519245257,0.0876093169118885,0.5479738623227738,3.6922260134404383,0.5285072284658552,0.4023101713681587,0.2444104497235429,0.0,1.2762934012280942,2.0,0.0,0.0020277816802112,0.0,0.0,0.7796711520085164,0.5047234207696094,0.0,0.1174647505142542,14.401869315987874,1.7571130849712526,-0.3703523466050762,-0.928891349601294,,,-2.4492935982947064e-16,1.0
9801702,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Mahlsdorf.9801702.html,0.0,22 m² WG-Zimmer in ruhiger Lage - Erstbezug nach Sanierung,591,22,1.0,3,2,0,1,0,2023-01-01,,"Kastanienallee 12, 12623, Berlin",Berlin,WG-Gesucht,52.4755912,13.6059357,2023-01-07,,1,550.0,41.0,0.0,0.0,1.0,591.0,12623.0,83.0,Rauchen auf dem Balkon erlaubt,1.0,Mehrfamilienhaus,1.0,,,Gasheizung,5.0,gute Parkmöglichkeiten,WG,,,Egal,20.0,40.0,,no_answer,,,no_answer,21.36144578313253,19.879518072289155,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365,Sun,730,plus540days,0.0,0.0,0.5,30_60,0.26506024096385544,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0
9800649,https://www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9800649.html,0.0,Super spacious room available from the 9th of January until the 12th of March 🌱,730,27,1.0,2,1,1,0,0,2023-01-01,,"Britzer Damm 138, 12347, Berlin",Berlin,WG-Gesucht,52.4507931,13.4373427,2023-01-11,2023-02-01,1,,0.0,0.0,0.0,1.0,730.0,12347.0,75.0,Rauchen auf dem Balkon erlaubt,1.0,Altbau,0.5,möbliert,,no_answer,2.0,no_answer,WG,27.0,,Frau,23.0,30.0,,no_answer,,,no_answer,19.466666666666665,,2.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365,Sun,21,30days,1.0,0.0,0.5,30_40,0.36,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0
